TradingDate,QTP,DCM,DPM,ACB,VCB,BID,MBB,STB
2022-07-18,15100.0,29600.0,42454.0,19964.0,72000.0,35500.0,21166.0,22550.0
2022-07-19,15100.0,29300.0,42371.0,19964.0,71300.0,35650.0,20999.0,22950.0
2022-07-20,15000.0,30000.0,44004.0,20298.0,72500.0,36400.0,21291.0,23050.0
2022-07-21,15100.0,30650.0,43550.0,20590.0,72500.0,36500.0,21332.0,23100.0
2022-07-22,15200.0,29650.0,41736.0,20340.0,72500.0,35500.0,21291.0,23000.0
2022-07-25,15100.0,28250.0,39921.0,20089.0,72900.0,35400.0,21041.0,22850.0
2022-07-26,15000.0,29050.0,40874.0,20089.0,73900.0,35550.0,20957.0,22950.0
2022-07-27,14800.0,30300.0,42099.0,20214.0,75000.0,35550.0,20749.0,23050.0
2022-07-28,14900.0,30600.0,42598.0,20423.0,75300.0,36500.0,21291.0,24450.0
2022-07-29,15100.0,29300.0,40466.0,20548.0,74700.0,37300.0,21374.0,24700.0
2022-08-01,15000.0,30050.0,41237.0,20883.0,77000.0,39000.0,22082.0,25200.0
2022-08-02,15100.0,30800.0,42189.0,20799.0,78900.0,38500.0,22249.0,24950.0
2022-08-03,15000.0,32400.0,43868.0,20841.0,79500.0,39300.0,22416.0,25450.0
2022-08-04,15000.0,32400.0,43097.0,20883.0,82500.0,39300.0,22457.0,25200.0
2022-08-05,15000.0,32400.0,43097.0,20757.0,82000.0,39000.0,22457.0,25250.0
2022-08-08,15200.0,33550.0,44095.0,20674.0,82000.0,38800.0,22582.0,25300.0
2022-08-09,15500.0,33300.0,44186.0,20841.0,80800.0,38650.0,22791.0,25250.0
2022-08-10,15400.0,32350.0,43097.0,20757.0,80500.0,38400.0,22666.0,24900.0
2022-08-11,15300.0,31750.0,42280.0,20674.0,81500.0,38300.0,22332.0,25200.0
2022-08-12,15200.0,32400.0,42552.0,20715.0,81600.0,39200.0,22541.0,25650.0
2022-08-15,15300.0,32750.0,43460.0,20841.0,81800.0,41000.0,22791.0,25650.0
2022-08-16,15400.0,32800.0,43369.0,20757.0,81500.0,40500.0,22707.0,25550.0
2022-08-17,15400.0,32200.0,42825.0,20841.0,81500.0,40000.0,23124.0,25400.0
2022-08-18,15300.0,32400.0,43006.0,21008.0,81500.0,39600.0,23041.0,25200.0
2022-08-19,15100.0,32000.0,42552.0,20757.0,80900.0,39350.0,22999.0,25100.0
2022-08-22,15100.0,31100.0,41554.0,20590.0,80000.0,38450.0,23100.0,24700.0
2022-08-23,15000.0,31450.0,41963.0,20715.0,80200.0,39500.0,23200.0,25000.0
2022-08-24,15300.0,33150.0,43369.0,20757.0,82000.0,39300.0,23300.0,25400.0
2022-08-25,15300.0,35450.0,46363.0,20883.0,82000.0,39300.0,23650.0,25650.0
2022-08-26,15400.0,35450.0,46726.0,20715.0,82500.0,39400.0,23600.0,25100.0
2022-08-29,15200.0,37900.0,49902.0,20507.0,82500.0,39000.0,23400.0,24850.0
2022-08-30,15400.0,37750.0,49629.0,20507.0,86000.0,39800.0,23650.0,24650.0
2022-08-31,15600.0,37500.0,49448.0,20590.0,84000.0,40000.0,23750.0,24800.0
2022-09-05,15600.0,38350.0,49902.0,20465.0,82600.0,39500.0,23600.0,24700.0
2022-09-06,15800.0,36600.0,48087.0,20590.0,82700.0,40050.0,23650.0,24700.0
2022-09-07,15500.0,35800.0,46454.0,20298.0,80000.0,37800.0,23000.0,24350.0
2022-09-08,15300.0,36900.0,47180.0,20047.0,78000.0,36700.0,22800.0,23900.0
2022-09-09,15300.0,38300.0,48722.0,20047.0,78800.0,37000.0,22700.0,23750.0
2022-09-12,15700.0,37700.0,47633.0,19838.0,79100.0,36900.0,22600.0,23100.0
2022-09-13,15600.0,37900.0,47724.0,19880.0,78600.0,36800.0,22550.0,23050.0
2022-09-14,15300.0,37350.0,46998.0,19630.0,78300.0,36500.0,22400.0,23050.0
2022-09-15,15600.0,37800.0,47815.0,19671.0,79200.0,35750.0,22150.0,23050.0
2022-09-16,15400.0,37000.0,47270.0,19337.0,80000.0,35500.0,21800.0,22450.0
2022-09-19,15200.0,34450.0,44004.0,19087.0,78800.0,34200.0,21000.0,21600.0
2022-09-20,15200.0,36000.0,45546.0,19128.0,79200.0,35150.0,21350.0,22150.0
2022-09-21,15300.0,35950.0,44775.0,18878.0,78900.0,34750.0,21200.0,21750.0
2022-09-22,15400.0,37000.0,45546.0,19045.0,78000.0,35150.0,21250.0,21950.0
2022-09-23,15300.0,36250.0,44911.0,18878.0,75900.0,34750.0,21000.0,21450.0
2022-09-26,15000.0,35100.0,42189.0,18544.0,75000.0,33400.0,20100.0,20500.0
2022-09-27,15200.0,34850.0,42552.0,18711.0,74300.0,33700.0,20200.0,20500.0
2022-09-28,15200.0,34650.0,42915.0,18377.0,75000.0,33500.0,19950.0,20300.0
2022-09-29,15000.0,32250.0,40874.0,18377.0,74000.0,33500.0,19800.0,19700.0
2022-09-30,14700.0,33700.0,42507.0,18544.0,73200.0,33900.0,20000.0,20600.0
2022-10-03,14600.0,31350.0,39558.0,18042.0,70600.0,31550.0,18700.0,19200.0
